"                                                                                                                                                        Address: An Der Ochsenwiese  3
                                                                                                                                                            55124 Mainz, GERMANY
                                                                                                                                                            Email: sales@gemahvoip.de
                                                                                                                                                            Website: www.gemahvoip.de
                                                                                                                                                            Telephone: +49 6131 488 3951",,,"STANDARD PRICELIST                                                               All prices mentioned in this pricelist are exclusive of VAT. All destinations billing increment 1/1.                 Haiti, Kiribati, Mexico, Nauru, Niue, Papua New Guinea, Samoa, Suriname, Tonga, Vanuatu - 60/60                                                                 Gambia - 60/1                                                                Effective from 21 March 2017",,
France Fixed OLO Zone 1,331723146,0.0039,1,1,00
France Fixed OLO Zone 1,331723145,0.0039,1,1,00
France Fixed OLO Zone 1,331723144,0.0039,1,1,00
France Fixed OLO Zone 1,331723143,0.0039,1,1,00
France Fixed OLO Zone 1,331723142,0.0039,1,1,00
France Fixed OLO Zone 1,331723140,0.0039,1,1,00
France Fixed OLO Zone 1,33172313,0.0039,1,1,00
France Fixed OLO Zone 1,33172312,0.0039,1,1,00
France Fixed OLO Zone 1,33172311,0.0039,1,1,00
France Fixed OLO Zone 1,33172310,0.0039,1,1,00
France Fixed OLO Zone 1,33172309,0.0039,1,1,00
France Fixed OLO Zone 1,33172308,0.0039,1,1,00
France Fixed OLO Zone 1,33172307,0.0039,1,1,00
France Fixed OLO Zone 1,33172305,0.0039,1,1,00
France Fixed OLO Zone 1,33172304,0.0039,1,1,00
France Fixed OLO Zone 1,33172303,0.0039,1,1,00
France Fixed OLO Zone 1,33172302,0.0039,1,1,00
France Fixed OLO Zone 1,33172301,0.0039,1,1,00
France Fixed OLO Zone 1,33172300,0.0039,1,1,00
France Fixed OLO Zone 1,3317228,0.0039,1,1,00
France Fixed OLO Zone 1,3317226,0.0039,1,1,00
France Fixed OLO Zone 1,3317225,0.0039,1,1,00
France Fixed OLO Zone 1,3317223,0.0039,1,1,00
France Fixed OLO Zone 1,3317222,0.0039,1,1,00
France Fixed OLO Zone 1,3317221,0.0039,1,1,00
France Fixed OLO Zone 1,3317220,0.0039,1,1,00
France Fixed OLO Zone 1,331721,0.0039,1,1,00
France Fixed OLO Zone 1,331723147,0.0039,1,1,00
France Fixed OLO Zone 1,331723148,0.0039,1,1,00
France Fixed OLO Zone 1,331723149,0.0039,1,1,00
France Fixed OLO Zone 1,33172315,0.0039,1,1,00
France Fixed OLO Zone 1,3317263,0.0039,1,1,00
France Fixed OLO Zone 1,3317262,0.0039,1,1,00
France Fixed OLO Zone 1,3317261,0.0039,1,1,00
France Fixed OLO Zone 1,3317260,0.0039,1,1,00
France Fixed OLO Zone 1,3317259,0.0039,1,1,00
France Fixed OLO Zone 1,3317258,0.0039,1,1,00
France Fixed OLO Zone 1,3317256,0.0039,1,1,00
France Fixed OLO Zone 1,3317255,0.0039,1,1,00
France Fixed OLO Zone 1,3317254,0.0039,1,1,00
France Fixed OLO Zone 1,3317253,0.0039,1,1,00
France Fixed OLO Zone 1,3317252,0.0039,1,1,00
France Fixed OLO Zone 1,3317251,0.0039,1,1,00
France Fixed OLO Zone 1,3317250,0.0039,1,1,00
France Fixed OLO Zone 1,331720,0.0039,1,1,00
France Fixed OLO Zone 1,3317249,0.0039,1,1,00
France Fixed OLO Zone 1,3317246,0.0039,1,1,00
France Fixed OLO Zone 1,3317244,0.0039,1,1,00
France Fixed OLO Zone 1,3317242,0.0039,1,1,00
France Fixed OLO Zone 1,3317240,0.0039,1,1,00
France Fixed OLO Zone 1,3317238,0.0039,1,1,00
France Fixed OLO Zone 1,3317236,0.0039,1,1,00
France Fixed OLO Zone 1,3317234,0.0039,1,1,00
France Fixed OLO Zone 1,3317233,0.0039,1,1,00
France Fixed OLO Zone 1,3317232,0.0039,1,1,00
France Fixed OLO Zone 1,33172319,0.0039,1,1,00
France Fixed OLO Zone 1,33172318,0.0039,1,1,00
France Fixed OLO Zone 1,33172317,0.0039,1,1,00
France Fixed OLO Zone 1,33172316,0.0039,1,1,00
France Fixed OLO Zone 1,3317248,0.0039,1,1,00
France Fixed OLO Zone 1,3317266,0.0039,1,1,00
France Fixed OLO Zone 1,3317198,0.0039,1,1,00
France Fixed OLO Zone 1,3317196,0.0039,1,1,00
France Fixed OLO Zone 1,3317038,0.0039,1,1,00
France Fixed OLO Zone 1,3317037,0.0039,1,1,00
France Fixed OLO Zone 1,3317036,0.0039,1,1,00
France Fixed OLO Zone 1,3317035,0.0039,1,1,00
France Fixed OLO Zone 1,3317033,0.0039,1,1,00
France Fixed OLO Zone 1,3317032,0.0039,1,1,00
France Fixed OLO Zone 1,331702,0.0039,1,1,00
France Fixed OLO Zone 1,3317019,0.0039,1,1,00
France Fixed OLO Zone 1,3317018,0.0039,1,1,00
France Fixed OLO Zone 1,3317016,0.0039,1,1,00
France Fixed OLO Zone 1,3317015,0.0039,1,1,00
France Fixed OLO Zone 1,3317013,0.0039,1,1,00
France Fixed OLO Zone 1,3317012,0.0039,1,1,00
France Fixed OLO Zone 1,3317010,0.0039,1,1,00
France Fixed OLO Zone 1,3317007,0.0039,1,1,00
France Fixed OLO Zone 1,3317006,0.0039,1,1,00
France Fixed OLO Zone 1,3317005,0.0039,1,1,00
France Fixed OLO Zone 1,3317004,0.0039,1,1,00
France Fixed OLO Zone 1,3317003,0.0039,1,1,00
France Fixed OLO Zone 1,3317002,0.0039,1,1,00
France Fixed OLO Zone 1,3317001,0.0039,1,1,00
France Fixed OLO Zone 1,3317000,0.0039,1,1,00
France Fixed OLO Zone 1,3314975,0.0039,1,1,00
France Fixed OLO Zone 1,3314864,0.0039,1,1,00
France Fixed OLO Zone 1,3314862,0.0039,1,1,00
France Fixed OLO Zone 1,3314816,0.0039,1,1,00
France Fixed OLO Zone 1,3330140,0.0039,1,1,00
France Fixed OLO Zone 1,3317039,0.0039,1,1,00
France Fixed OLO Zone 1,3317040,0.0039,1,1,00
France Fixed OLO Zone 1,3317042,0.0039,1,1,00
France Fixed OLO Zone 1,3317044,0.0039,1,1,00
France Fixed OLO Zone 1,3317195,0.0039,1,1,00
France Fixed OLO Zone 1,3317194,0.0039,1,1,00
France Fixed OLO Zone 1,3317193,0.0039,1,1,00
France Fixed OLO Zone 1,3317192,0.0039,1,1,00
France Fixed OLO Zone 1,3317191,0.0039,1,1,00
France Fixed OLO Zone 1,3317190,0.0039,1,1,00
France Fixed OLO Zone 1,331718,0.0039,1,1,00
France Fixed OLO Zone 1,331717,0.0039,1,1,00
France Fixed OLO Zone 1,331716,0.0039,1,1,00
France Fixed OLO Zone 1,331715,0.0039,1,1,00
France Fixed OLO Zone 1,331714,0.0039,1,1,00
France Fixed OLO Zone 1,331713,0.0039,1,1,00
France Fixed OLO Zone 1,331712,0.0039,1,1,00
France Fixed OLO Zone 1,3317197,0.0039,1,1,00
France Fixed OLO Zone 1,331711,0.0039,1,1,00
France Fixed OLO Zone 1,331709,0.0039,1,1,00
France Fixed OLO Zone 1,331708,0.0039,1,1,00
France Fixed OLO Zone 1,331707,0.0039,1,1,00
France Fixed OLO Zone 1,331706,0.0039,1,1,00
France Fixed OLO Zone 1,3317059,0.0039,1,1,00
France Fixed OLO Zone 1,3317058,0.0039,1,1,00
France Fixed OLO Zone 1,3317056,0.0039,1,1,00
France Fixed OLO Zone 1,3317055,0.0039,1,1,00
France Fixed OLO Zone 1,3317053,0.0039,1,1,00
France Fixed OLO Zone 1,3317051,0.0039,1,1,00
France Fixed OLO Zone 1,3317050,0.0039,1,1,00
France Fixed OLO Zone 1,3317048,0.0039,1,1,00
France Fixed OLO Zone 1,3317046,0.0039,1,1,00
France Fixed OLO Zone 1,331710,0.0039,1,1,00
France Fixed OLO Zone 1,3317267,0.0039,1,1,00
France Fixed OLO Zone 1,3317273,0.0039,1,1,00
France Fixed OLO Zone 1,3317278,0.0039,1,1,00
France Fixed OLO Zone 1,3317542,0.0039,1,1,00
France Fixed OLO Zone 1,3317541,0.0039,1,1,00
France Fixed OLO Zone 1,3317540,0.0039,1,1,00
France Fixed OLO Zone 1,331753,0.0039,1,1,00
France Fixed OLO Zone 1,331752,0.0039,1,1,00
France Fixed OLO Zone 1,3317519,0.0039,1,1,00
France Fixed OLO Zone 1,3317518,0.0039,1,1,00
France Fixed OLO Zone 1,3317517,0.0039,1,1,00
France Fixed OLO Zone 1,3317516,0.0039,1,1,00
France Fixed OLO Zone 1,3317515,0.0039,1,1,00
France Fixed OLO Zone 1,3317514,0.0039,1,1,00
France Fixed OLO Zone 1,3317513,0.0039,1,1,00
France Fixed OLO Zone 1,3317495,0.0039,1,1,00
France Fixed OLO Zone 1,3317493,0.0039,1,1,00
France Fixed OLO Zone 1,3317492,0.0039,1,1,00
France Fixed OLO Zone 1,3317490,0.0039,1,1,00
France Fixed OLO Zone 1,3317482,0.0039,1,1,00
France Fixed OLO Zone 1,3317481,0.0039,1,1,00
France Fixed OLO Zone 1,3317480,0.0039,1,1,00
France Fixed OLO Zone 1,3317467,0.0039,1,1,00
France Fixed OLO Zone 1,3317466,0.0039,1,1,00
France Fixed OLO Zone 1,3317465,0.0039,1,1,00
France Fixed OLO Zone 1,3317464,0.0039,1,1,00
France Fixed OLO Zone 1,3317463,0.0039,1,1,00
France Fixed OLO Zone 1,3317462,0.0039,1,1,00
France Fixed OLO Zone 1,3317461,0.0039,1,1,00
France Fixed OLO Zone 1,3317460,0.0039,1,1,00
France Fixed OLO Zone 1,3317543,0.0039,1,1,00
France Fixed OLO Zone 1,3317546,0.0039,1,1,00
France Fixed OLO Zone 1,3317547,0.0039,1,1,00
France Fixed OLO Zone 1,3317548,0.0039,1,1,00
France Fixed OLO Zone 1,331763,0.0039,1,1,00
France Fixed OLO Zone 1,331762,0.0039,1,1,00
France Fixed OLO Zone 1,331759,0.0039,1,1,00
France Fixed OLO Zone 1,3317589,0.0039,1,1,00
France Fixed OLO Zone 1,3317588,0.0039,1,1,00
France Fixed OLO Zone 1,3317587,0.0039,1,1,00
France Fixed OLO Zone 1,3317586,0.0039,1,1,00
France Fixed OLO Zone 1,3317585,0.0039,1,1,00
France Fixed OLO Zone 1,3317584,0.0039,1,1,00
France Fixed OLO Zone 1,3317583,0.0039,1,1,00
France Fixed OLO Zone 1,3317581,0.0039,1,1,00
France Fixed OLO Zone 1,3317580,0.0039,1,1,00
France Fixed OLO Zone 1,3317579,0.0039,1,1,00
France Fixed OLO Zone 1,331745,0.0039,1,1,00
France Fixed OLO Zone 1,3317578,0.0039,1,1,00
France Fixed OLO Zone 1,3317574,0.0039,1,1,00
France Fixed OLO Zone 1,3317573,0.0039,1,1,00
France Fixed OLO Zone 1,3317566,0.0039,1,1,00
France Fixed OLO Zone 1,3317559,0.0039,1,1,00
France Fixed OLO Zone 1,3317558,0.0039,1,1,00
France Fixed OLO Zone 1,3317557,0.0039,1,1,00
France Fixed OLO Zone 1,3317556,0.0039,1,1,00
France Fixed OLO Zone 1,3317555,0.0039,1,1,00
France Fixed OLO Zone 1,3317554,0.0039,1,1,00
France Fixed OLO Zone 1,3317553,0.0039,1,1,00
France Fixed OLO Zone 1,3317551,0.0039,1,1,00
France Fixed OLO Zone 1,3317550,0.0039,1,1,00
France Fixed OLO Zone 1,3317549,0.0039,1,1,00
France Fixed OLO Zone 1,3317575,0.0039,1,1,00
France Fixed OLO Zone 1,3317437,0.0039,1,1,00
France Fixed OLO Zone 1,3317434,0.0039,1,1,00
France Fixed OLO Zone 1,3317431,0.0039,1,1,00
France Fixed OLO Zone 1,3317338,0.0039,1,1,00
France Fixed OLO Zone 1,3317337,0.0039,1,1,00
France Fixed OLO Zone 1,3317332,0.0039,1,1,00
France Fixed OLO Zone 1,3317331,0.0039,1,1,00
France Fixed OLO Zone 1,3317330,0.0039,1,1,00
France Fixed OLO Zone 1,331732,0.0039,1,1,00
France Fixed OLO Zone 1,331731,0.0039,1,1,00
France Fixed OLO Zone 1,331730,0.0039,1,1,00
France Fixed OLO Zone 1,3317299,0.0039,1,1,00
France Fixed OLO Zone 1,3317297,0.0039,1,1,00
France Fixed OLO Zone 1,3317296,0.0039,1,1,00
France Fixed OLO Zone 1,3317295,0.0039,1,1,00
France Fixed OLO Zone 1,3317288,0.0039,1,1,00
France Fixed OLO Zone 1,3317339,0.0039,1,1,00
France Fixed OLO Zone 1,3317287,0.0039,1,1,00
France Fixed OLO Zone 1,3317285,0.0039,1,1,00
France Fixed OLO Zone 1,3317284,0.0039,1,1,00
France Fixed OLO Zone 1,33172839,0.0039,1,1,00
France Fixed OLO Zone 1,33172838,0.0039,1,1,00
France Fixed OLO Zone 1,33172837,0.0039,1,1,00
France Fixed OLO Zone 1,33172836,0.0039,1,1,00
France Fixed OLO Zone 1,33172834,0.0039,1,1,00
France Fixed OLO Zone 1,33172833,0.0039,1,1,00
France Fixed OLO Zone 1,33172832,0.0039,1,1,00
France Fixed OLO Zone 1,33172831,0.0039,1,1,00
France Fixed OLO Zone 1,33172830,0.0039,1,1,00
France Fixed OLO Zone 1,3317280,0.0039,1,1,00
France Fixed OLO Zone 1,3317279,0.0039,1,1,00
France Fixed OLO Zone 1,3317286,0.0039,1,1,00
France Fixed OLO Zone 1,3317650,0.0039,1,1,00
France Fixed OLO Zone 1,331734,0.0039,1,1,00
France Fixed OLO Zone 1,3317352,0.0039,1,1,00
France Fixed OLO Zone 1,3317430,0.0039,1,1,00
France Fixed OLO Zone 1,3317429,0.0039,1,1,00
France Fixed OLO Zone 1,3317425,0.0039,1,1,00
France Fixed OLO Zone 1,3317422,0.0039,1,1,00
France Fixed OLO Zone 1,3317420,0.0039,1,1,00
France Fixed OLO Zone 1,3317418,0.0039,1,1,00
France Fixed OLO Zone 1,3317417,0.0039,1,1,00
France Fixed OLO Zone 1,3317413,0.0039,1,1,00
France Fixed OLO Zone 1,3317412,0.0039,1,1,00
France Fixed OLO Zone 1,3317411,0.0039,1,1,00
France Fixed OLO Zone 1,3317410,0.0039,1,1,00
France Fixed OLO Zone 1,3317409,0.0039,1,1,00
France Fixed OLO Zone 1,3317400,0.0039,1,1,00
France Fixed OLO Zone 1,3317351,0.0039,1,1,00
France Fixed OLO Zone 1,331737,0.0039,1,1,00
France Fixed OLO Zone 1,3317365,0.0039,1,1,00
France Fixed OLO Zone 1,3317364,0.0039,1,1,00
France Fixed OLO Zone 1,3317363,0.0039,1,1,00
France Fixed OLO Zone 1,3317362,0.0039,1,1,00
France Fixed OLO Zone 1,3317361,0.0039,1,1,00
France Fixed OLO Zone 1,3317360,0.0039,1,1,00
France Fixed OLO Zone 1,3317359,0.0039,1,1,00
France Fixed OLO Zone 1,3317358,0.0039,1,1,00
France Fixed OLO Zone 1,3317357,0.0039,1,1,00
France Fixed OLO Zone 1,3317356,0.0039,1,1,00
France Fixed OLO Zone 1,3317355,0.0039,1,1,00
France Fixed OLO Zone 1,3317354,0.0039,1,1,00
France Fixed OLO Zone 1,3317353,0.0039,1,1,00
France Fixed OLO Zone 1,3317366,0.0039,1,1,00
France Fixed OLO Zone 1,3320072,0.0039,1,1,00
France Fixed OLO Zone 1,3317545,0.0039,1,1,00
France Fixed OLO Zone 1,3320074,0.0039,1,1,00
France Fixed OLO Zone 1,3323647,0.0039,1,1,00
France Fixed OLO Zone 1,3323646,0.0039,1,1,00
France Fixed OLO Zone 1,3323645,0.0039,1,1,00
France Fixed OLO Zone 1,3323644,0.0039,1,1,00
France Fixed OLO Zone 1,3323643,0.0039,1,1,00
France Fixed OLO Zone 1,3323642,0.0039,1,1,00
France Fixed OLO Zone 1,3323641,0.0039,1,1,00
France Fixed OLO Zone 1,3323640,0.0039,1,1,00
France Fixed OLO Zone 1,3323639,0.0039,1,1,00
France Fixed OLO Zone 1,3323638,0.0039,1,1,00
France Fixed OLO Zone 1,3323637,0.0039,1,1,00
France Fixed OLO Zone 1,3323635,0.0039,1,1,00
France Fixed OLO Zone 1,3323634,0.0039,1,1,00
France Fixed OLO Zone 1,3323633,0.0039,1,1,00
France Fixed OLO Zone 1,3323632,0.0039,1,1,00
France Fixed OLO Zone 1,3323631,0.0039,1,1,00
France Fixed OLO Zone 1,3323630,0.0039,1,1,00
France Fixed OLO Zone 1,332362,0.0039,1,1,00
France Fixed OLO Zone 1,3323618,0.0039,1,1,00
France Fixed OLO Zone 1,3323617,0.0039,1,1,00
France Fixed OLO Zone 1,3323616,0.0039,1,1,00
France Fixed OLO Zone 1,3323615,0.0039,1,1,00
France Fixed OLO Zone 1,3323614,0.0039,1,1,00
France Fixed OLO Zone 1,3323613,0.0039,1,1,00
France Fixed OLO Zone 1,3323612,0.0039,1,1,00
France Fixed OLO Zone 1,3323611,0.0039,1,1,00
France Fixed OLO Zone 1,3323609,0.0039,1,1,00
France Fixed OLO Zone 1,3323648,0.0039,1,1,00
France Fixed OLO Zone 1,3323651,0.0039,1,1,00
France Fixed OLO Zone 1,3323652,0.0039,1,1,00
France Fixed OLO Zone 1,3323653,0.0039,1,1,00
France Fixed OLO Zone 1,3324405,0.0039,1,1,00
France Fixed OLO Zone 1,3324404,0.0039,1,1,00
France Fixed OLO Zone 1,3324403,0.0039,1,1,00
France Fixed OLO Zone 1,3324402,0.0039,1,1,00
France Fixed OLO Zone 1,3324401,0.0039,1,1,00
France Fixed OLO Zone 1,332369,0.0039,1,1,00
France Fixed OLO Zone 1,332368,0.0039,1,1,00
France Fixed OLO Zone 1,3323679,0.0039,1,1,00
France Fixed OLO Zone 1,3323677,0.0039,1,1,00
France Fixed OLO Zone 1,3323676,0.0039,1,1,00
France Fixed OLO Zone 1,3323675,0.0039,1,1,00
France Fixed OLO Zone 1,3323674,0.0039,1,1,00
France Fixed OLO Zone 1,3323673,0.0039,1,1,00
France Fixed OLO Zone 1,3323608,0.0039,1,1,00
France Fixed OLO Zone 1,3323672,0.0039,1,1,00
France Fixed OLO Zone 1,3323670,0.0039,1,1,00
France Fixed OLO Zone 1,3323669,0.0039,1,1,00
France Fixed OLO Zone 1,3323668,0.0039,1,1,00
France Fixed OLO Zone 1,3323667,0.0039,1,1,00
France Fixed OLO Zone 1,3323666,0.0039,1,1,00
France Fixed OLO Zone 1,3323665,0.0039,1,1,00
France Fixed OLO Zone 1,3323664,0.0039,1,1,00
France Fixed OLO Zone 1,3323662,0.0039,1,1,00
France Fixed OLO Zone 1,3323661,0.0039,1,1,00
France Fixed OLO Zone 1,3323660,0.0039,1,1,00
France Fixed OLO Zone 1,3323659,0.0039,1,1,00
France Fixed OLO Zone 1,3323655,0.0039,1,1,00
France Fixed OLO Zone 1,3323654,0.0039,1,1,00
France Fixed OLO Zone 1,3323671,0.0039,1,1,00
France Fixed OLO Zone 1,3324406,0.0039,1,1,00
France Fixed OLO Zone 1,3323606,0.0039,1,1,00
France Fixed OLO Zone 1,3323604,0.0039,1,1,00
France Fixed OLO Zone 1,3323439,0.0039,1,1,00
France Fixed OLO Zone 1,3323438,0.0039,1,1,00
France Fixed OLO Zone 1,3323437,0.0039,1,1,00
France Fixed OLO Zone 1,3323436,0.0039,1,1,00
France Fixed OLO Zone 1,3323435,0.0039,1,1,00
France Fixed OLO Zone 1,3323434,0.0039,1,1,00
France Fixed OLO Zone 1,3323433,0.0039,1,1,00
France Fixed OLO Zone 1,3323432,0.0039,1,1,00
France Fixed OLO Zone 1,3323431,0.0039,1,1,00
France Fixed OLO Zone 1,3323429,0.0039,1,1,00
France Fixed OLO Zone 1,3323425,0.0039,1,1,00
France Fixed OLO Zone 1,3323424,0.0039,1,1,00
France Fixed OLO Zone 1,3323409,0.0039,1,1,00
France Fixed OLO Zone 1,3323408,0.0039,1,1,00
France Fixed OLO Zone 1,3323407,0.0039,1,1,00
France Fixed OLO Zone 1,3323406,0.0039,1,1,00
France Fixed OLO Zone 1,3323405,0.0039,1,1,00
France Fixed OLO Zone 1,3323404,0.0039,1,1,00
France Fixed OLO Zone 1,3323403,0.0039,1,1,00
France Fixed OLO Zone 1,3323402,0.0039,1,1,00
France Fixed OLO Zone 1,3323400,0.0039,1,1,00
France Fixed OLO Zone 1,3323099,0.0039,1,1,00
France Fixed OLO Zone 1,3323098,0.0039,1,1,00
France Fixed OLO Zone 1,3323097,0.0039,1,1,00
France Fixed OLO Zone 1,3323096,0.0039,1,1,00
France Fixed OLO Zone 1,3323095,0.0039,1,1,00
France Fixed OLO Zone 1,3323091,0.0039,1,1,00
France Fixed OLO Zone 1,332344,0.0039,1,1,00
France Fixed OLO Zone 1,3323450,0.0039,1,1,00
France Fixed OLO Zone 1,3323451,0.0039,1,1,00
France Fixed OLO Zone 1,3323452,0.0039,1,1,00
France Fixed OLO Zone 1,3323603,0.0039,1,1,00
France Fixed OLO Zone 1,3323602,0.0039,1,1,00
France Fixed OLO Zone 1,3323601,0.0039,1,1,00
France Fixed OLO Zone 1,3323489,0.0039,1,1,00
France Fixed OLO Zone 1,3323488,0.0039,1,1,00
France Fixed OLO Zone 1,3323487,0.0039,1,1,00
France Fixed OLO Zone 1,3323486,0.0039,1,1,00
France Fixed OLO Zone 1,3323485,0.0039,1,1,00
France Fixed OLO Zone 1,3323484,0.0039,1,1,00
France Fixed OLO Zone 1,3323480,0.0039,1,1,00
France Fixed OLO Zone 1,3323478,0.0039,1,1,00
France Fixed OLO Zone 1,3323477,0.0039,1,1,00
France Fixed OLO Zone 1,3323474,0.0039,1,1,00
France Fixed OLO Zone 1,3323605,0.0039,1,1,00
France Fixed OLO Zone 1,3323473,0.0039,1,1,00
France Fixed OLO Zone 1,3323470,0.0039,1,1,00
France Fixed OLO Zone 1,3323469,0.0039,1,1,00
France Fixed OLO Zone 1,3323467,0.0039,1,1,00
France Fixed OLO Zone 1,3323464,0.0039,1,1,00
France Fixed OLO Zone 1,3323462,0.0039,1,1,00
France Fixed OLO Zone 1,3323461,0.0039,1,1,00
France Fixed OLO Zone 1,3323460,0.0039,1,1,00
France Fixed OLO Zone 1,3323459,0.0039,1,1,00
France Fixed OLO Zone 1,3323457,0.0039,1,1,00
France Fixed OLO Zone 1,3323456,0.0039,1,1,00
France Fixed OLO Zone 1,3323455,0.0039,1,1,00
France Fixed OLO Zone 1,3323454,0.0039,1,1,00
France Fixed OLO Zone 1,3323453,0.0039,1,1,00
France Fixed OLO Zone 1,3323471,0.0039,1,1,00
France Fixed OLO Zone 1,3324407,0.0039,1,1,00
France Fixed OLO Zone 1,3324408,0.0039,1,1,00
France Fixed OLO Zone 1,3324409,0.0039,1,1,00
France Fixed OLO Zone 1,3324917,0.0039,1,1,00
France Fixed OLO Zone 1,3324916,0.0039,1,1,00
France Fixed OLO Zone 1,3324915,0.0039,1,1,00
France Fixed OLO Zone 1,3324914,0.0039,1,1,00
France Fixed OLO Zone 1,3324913,0.0039,1,1,00
France Fixed OLO Zone 1,3324912,0.0039,1,1,00
France Fixed OLO Zone 1,3324911,0.0039,1,1,00
France Fixed OLO Zone 1,3324910,0.0039,1,1,00
France Fixed OLO Zone 1,332490,0.0039,1,1,00
France Fixed OLO Zone 1,332469,0.0039,1,1,00
France Fixed OLO Zone 1,332468,0.0039,1,1,00
France Fixed OLO Zone 1,3324679,0.0039,1,1,00
France Fixed OLO Zone 1,3324678,0.0039,1,1,00
France Fixed OLO Zone 1,3324677,0.0039,1,1,00
France Fixed OLO Zone 1,3324675,0.0039,1,1,00
France Fixed OLO Zone 1,3324674,0.0039,1,1,00
France Fixed OLO Zone 1,3324673,0.0039,1,1,00
France Fixed OLO Zone 1,3324672,0.0039,1,1,00
France Fixed OLO Zone 1,3324671,0.0039,1,1,00
France Fixed OLO Zone 1,3324670,0.0039,1,1,00
France Fixed OLO Zone 1,332466,0.0039,1,1,00
France Fixed OLO Zone 1,332465,0.0039,1,1,00
France Fixed OLO Zone 1,332464,0.0039,1,1,00
France Fixed OLO Zone 1,332463,0.0039,1,1,00
France Fixed OLO Zone 1,3324629,0.0039,1,1,00
France Fixed OLO Zone 1,3324628,0.0039,1,1,00
France Fixed OLO Zone 1,3324627,0.0039,1,1,00
France Fixed OLO Zone 1,3324919,0.0039,1,1,00
France Fixed OLO Zone 1,332492,0.0039,1,1,00
France Fixed OLO Zone 1,332493,0.0039,1,1,00
France Fixed OLO Zone 1,332494,0.0039,1,1,00
France Fixed OLO Zone 1,333012,0.0039,1,1,00
France Fixed OLO Zone 1,3320073,0.0039,1,1,00
France Fixed OLO Zone 1,333011,0.0039,1,1,00
France Fixed OLO Zone 1,333010,0.0039,1,1,00
France Fixed OLO Zone 1,333009,0.0039,1,1,00
France Fixed OLO Zone 1,333008,0.0039,1,1,00
France Fixed OLO Zone 1,333007,0.0039,1,1,00
France Fixed OLO Zone 1,3330049,0.0039,1,1,00
France Fixed OLO Zone 1,3330048,0.0039,1,1,00
France Fixed OLO Zone 1,3330047,0.0039,1,1,00
France Fixed OLO Zone 1,3330046,0.0039,1,1,00
France Fixed OLO Zone 1,3330045,0.0039,1,1,00
France Fixed OLO Zone 1,3330043,0.0039,1,1,00
France Fixed OLO Zone 1,3324626,0.0039,1,1,00
France Fixed OLO Zone 1,3330042,0.0039,1,1,00
France Fixed OLO Zone 1,333003,0.0039,1,1,00
France Fixed OLO Zone 1,333002,0.0039,1,1,00
France Fixed OLO Zone 1,333001,0.0039,1,1,00
France Fixed OLO Zone 1,333000,0.0039,1,1,00
France Fixed OLO Zone 1,3324989,0.0039,1,1,00
France Fixed OLO Zone 1,3324988,0.0039,1,1,00
France Fixed OLO Zone 1,3324987,0.0039,1,1,00
France Fixed OLO Zone 1,3324980,0.0039,1,1,00
France Fixed OLO Zone 1,3324979,0.0039,1,1,00
France Fixed OLO Zone 1,3324953,0.0039,1,1,00
France Fixed OLO Zone 1,3324952,0.0039,1,1,00
France Fixed OLO Zone 1,3324951,0.0039,1,1,00
France Fixed OLO Zone 1,3324950,0.0039,1,1,00
France Fixed OLO Zone 1,3330041,0.0039,1,1,00
France Fixed OLO Zone 1,3324625,0.0039,1,1,00
France Fixed OLO Zone 1,3324624,0.0039,1,1,00
France Fixed OLO Zone 1,3324623,0.0039,1,1,00
France Fixed OLO Zone 1,3324489,0.0039,1,1,00
France Fixed OLO Zone 1,3324487,0.0039,1,1,00
France Fixed OLO Zone 1,3324486,0.0039,1,1,00
France Fixed OLO Zone 1,3324485,0.0039,1,1,00
France Fixed OLO Zone 1,3324484,0.0039,1,1,00
France Fixed OLO Zone 1,3324483,0.0039,1,1,00
France Fixed OLO Zone 1,3324482,0.0039,1,1,00
France Fixed OLO Zone 1,3324481,0.0039,1,1,00
France Fixed OLO Zone 1,3324479,0.0039,1,1,00
France Fixed OLO Zone 1,3324478,0.0039,1,1,00
France Fixed OLO Zone 1,3324475,0.0039,1,1,00
France Fixed OLO Zone 1,3324474,0.0039,1,1,00
France Fixed OLO Zone 1,3324473,0.0039,1,1,00
France Fixed OLO Zone 1,3324491,0.0039,1,1,00
France Fixed OLO Zone 1,3324472,0.0039,1,1,00
France Fixed OLO Zone 1,3324458,0.0039,1,1,00
France Fixed OLO Zone 1,3324457,0.0039,1,1,00
France Fixed OLO Zone 1,3324456,0.0039,1,1,00
France Fixed OLO Zone 1,3324455,0.0039,1,1,00
France Fixed OLO Zone 1,3324454,0.0039,1,1,00
France Fixed OLO Zone 1,3324453,0.0039,1,1,00
France Fixed OLO Zone 1,3324452,0.0039,1,1,00
France Fixed OLO Zone 1,3324451,0.0039,1,1,00
France Fixed OLO Zone 1,3324441,0.0039,1,1,00
France Fixed OLO Zone 1,3324440,0.0039,1,1,00
France Fixed OLO Zone 1,332443,0.0039,1,1,00
France Fixed OLO Zone 1,332442,0.0039,1,1,00
France Fixed OLO Zone 1,332441,0.0039,1,1,00
France Fixed OLO Zone 1,3324460,0.0039,1,1,00
France Fixed OLO Zone 1,3323090,0.0039,1,1,00
France Fixed OLO Zone 1,3324492,0.0039,1,1,00
France Fixed OLO Zone 1,3324494,0.0039,1,1,00
France Fixed OLO Zone 1,3324610,0.0039,1,1,00
